"Access","Time (UTCG)","Noise Density (dBW/Hz)","S/T SNR1 (dB)","S/T PDet1","S/T Integrated SNR (dB)","S/T Integrated PDet","S/T Pulses Integrated","S/T Integration Time (sec)","S/T Dwell Time (sec)","S/T Noise Bandwidth (MHz)","S/T Noise Power (dBW)","S/T Ambig Tgt Velocity (m/s)","S/T Ambig MLC Velocity (m/s)","S/T Ambig Tgt Range (km)","S/T Integ. Det. Thresh. (dB)","S/T Integ. CFAR Multiple"
1,1 May 2024 19:31:53.000,-203.975159,-14.2279,0.000133,12.8648,0.002238,512,0.5110,0.5130,30.000,-129.204,-3.559,0.000,1.748511,27.7847,0.000000
1,1 May 2024 19:31:56.000,-203.975159,-14.1853,0.000134,12.9074,0.002302,512,0.5110,0.5130,30.000,-129.204,-3.559,0.000,1.008705,27.7847,0.000000
1,1 May 2024 19:31:59.000,-203.975159,-14.1425,0.000134,12.9502,0.002363,512,0.5110,0.5130,30.000,-129.204,-3.560,0.000,0.268901,27.7847,0.000000
1,1 May 2024 19:32:02.000,-203.975159,-14.0996,0.000134,12.9931,0.002425,512,0.5110,0.5130,30.000,-129.204,-3.560,0.000,149.425327,27.7847,0.000000
1,1 May 2024 19:32:05.000,-203.975159,-14.0566,0.000135,13.0361,0.002490,512,0.5110,0.5130,30.000,-129.204,-3.560,0.000,148.685524,27.7847,0.000000
1,1 May 2024 19:32:08.000,-203.975159,-14.0135,0.000135,13.0792,0.002564,512,0.5110,0.5130,30.000,-129.204,-3.561,0.000,147.945722,27.7847,0.000000
1,1 May 2024 19:32:11.000,-203.975159,-13.9703,0.000135,13.1224,0.002635,512,0.5110,0.5130,30.000,-129.204,-3.561,0.000,147.205922,27.7847,0.000000
1,1 May 2024 19:32:14.000,-203.975159,-13.9270,0.000136,13.1657,0.002707,512,0.5110,0.5130,30.000,-129.204,-3.562,0.000,146.466122,27.7847,0.000000
1,1 May 2024 19:32:17.000,-203.975159,-13.8836,0.000136,13.2091,0.002782,512,0.5110,0.5130,30.000,-129.204,-3.562,0.000,145.726322,27.7847,0.000000
1,1 May 2024 19:32:20.000,-203.975159,-13.8401,0.000136,13.2526,0.002868,512,0.5110,0.5130,30.000,-129.204,-3.562,0.000,144.986524,27.7847,0.000000
1,1 May 2024 19:32:23.000,-203.975159,-13.7964,0.000137,13.2963,0.002950,512,0.5110,0.5130,30.000,-129.204,-3.563,0.000,144.246726,27.7847,0.000000
1,1 May 2024 19:32:26.000,-203.975159,-13.7527,0.000137,13.3400,0.003034,512,0.5110,0.5130,30.000,-129.204,-3.563,0.000,143.506930,27.7847,0.000000
1,1 May 2024 19:32:29.000,-203.975159,-13.7088,0.000137,13.3839,0.003130,512,0.5110,0.5130,30.000,-129.204,-3.563,0.000,142.767134,27.7847,0.000000
1,1 May 2024 19:32:32.000,-203.975159,-13.6649,0.000138,13.4278,0.003221,512,0.5110,0.5129,30.000,-129.204,-3.564,0.000,142.027340,27.7847,0.000000
1,1 May 2024 19:32:35.000,-203.975159,-13.6208,0.000138,13.4719,0.003316,512,0.5110,0.5129,30.000,-129.204,-3.564,0.000,141.287546,27.7847,0.000000
1,1 May 2024 19:32:38.000,-203.975159,-13.5766,0.000139,13.5161,0.003414,512,0.5110,0.5129,30.000,-129.204,-3.565,0.000,140.547753,27.7847,0.000000
